PROV_,DEPTO_,COD_2010,eph_codagl,eph_aglome
02,003,020030806,32,CABA
02,003,020030807,32,CABA
02,003,020030808,32,CABA
02,003,020030809,32,CABA
02,003,020030810,32,CABA
02,003,020030901,32,CABA
02,003,020030902,32,CABA
02,003,020030903,32,CABA
02,003,020030904,32,CABA
02,003,020030905,32,CABA
02,003,020030906,32,CABA
02,003,020030907,32,CABA
02,003,020030908,32,CABA
02,003,020030909,32,CABA
02,003,020030910,32,CABA
02,003,020031001,32,CABA
02,003,020031002,32,CABA
02,003,020031003,32,CABA
02,003,020031004,32,CABA
02,003,020031005,32,CABA
02,003,020031006,32,CABA
02,003,020031007,32,CABA
02,003,020031008,32,CABA
02,003,020031101,32,CABA
02,003,020031102,32,CABA
02,003,020031103,32,CABA
02,003,020031104,32,CABA
02,003,020031105,32,CABA
02,003,020031106,32,CABA
02,003,020031107,32,CABA
02,003,020031108,32,CABA
02,003,020031201,32,CABA
02,003,020031202,32,CABA
02,003,020031203,32,CABA
02,003,020031204,32,CABA
02,003,020031205,32,CABA
02,003,020031206,32,CABA
02,003,020031207,32,CABA
02,003,020031208,32,CABA
02,003,020031209,32,CABA
02,003,020031210,32,CABA
02,003,020031301,32,CABA
02,003,020031302,32,CABA
02,003,020031303,32,CABA
02,003,020031304,32,CABA
02,003,020031305,32,CABA
02,003,020031306,32,CABA
02,003,020031307,32,CABA
02,003,020031308,32,CABA
02,003,020031309,32,CABA
02,003,020031310,32,CABA
02,003,020031311,32,CABA
02,003,020031401,32,CABA
02,003,020031402,32,CABA
02,003,020031403,32,CABA
02,003,020031404,32,CABA
02,003,020031405,32,CABA
02,003,020031406,32,CABA
02,003,020031407,32,CABA
02,003,020031408,32,CABA
02,003,020031409,32,CABA
02,003,020031410,32,CABA
02,003,020031501,32,CABA
02,003,020031502,32,CABA
02,003,020031503,32,CABA
02,003,020031504,32,CABA
02,003,020031505,32,CABA
02,003,020031506,32,CABA
02,003,020031507,32,CABA
02,003,020031508,32,CABA
02,003,020031509,32,CABA
02,003,020031601,32,CABA
02,003,020031602,32,CABA
02,003,020031603,32,CABA
02,003,020031604,32,CABA
02,003,020031605,32,CABA
02,003,020031606,32,CABA
02,003,020031607,32,CABA
02,003,020031608,32,CABA
02,003,020031609,32,CABA
02,003,020031701,32,CABA
02,003,020031702,32,CABA
02,003,020031703,32,CABA
02,003,020031704,32,CABA
02,003,020031705,32,CABA
02,003,020031706,32,CABA
02,003,020031707,32,CABA
02,003,020031708,32,CABA
02,003,020031709,32,CABA
02,003,020031801,32,CABA
02,003,020031802,32,CABA
02,003,020031803,32,CABA
02,003,020031804,32,CABA
02,003,020031805,32,CABA
02,003,020031806,32,CABA
02,003,020031807,32,CABA
02,003,020031808,32,CABA
02,003,020031809,32,CABA
02,003,020031810,32,CABA
02,003,020031811,32,CABA
02,003,020031901,32,CABA
02,003,020031902,32,CABA
02,003,020031903,32,CABA
02,003,020031904,32,CABA
02,003,020031905,32,CABA
02,003,020031906,32,CABA
02,003,020031907,32,CABA
